,i_i_glide_lignum,i_global_index,r_i_docking_score,s_smiles,s_neutral_smiles,r_moleculeone_score
138845,846,138,-9.96359,O=C(Nn1cnc2ccccc21)[C@@H]1CC=CCC1,O=C(Nn1cnc2ccccc21)[C@@H]1CC=CCC1,2.16815972328186
161038,40,161,-9.943439999999999,N#Cc1cccc([C@H]2NC(=O)c3cc(Cl)ccc3N2)c1,N#Cc1cccc([C@H]2NC(=O)c3cc(Cl)ccc3N2)c1,2.0156421661377
139860,861,139,-9.88299,C=CC[NH2+][C@@]1(C(=O)[O-])CSCCC1(C)C,C=CCN[C@]1(C(=O)O)CSCCC1(C)C,10.0
133378,379,133,-9.86665,O=c1[nH]c(NCc2ccccc2)nc2ccccc12,O=c1[nH]c(NCc2ccccc2)nc2ccccc12,2.22964811325073
54452,453,54,-9.866589999999999,Cc1cc(Oc2ncnc3c2CCCC3)ccc1N,Cc1cc(Oc2ncnc3c2CCCC3)ccc1N,2.28757429122925
66724,725,66,-9.85794,COCCCNC(=O)C1=CC2=c3ccccc3=[NH+][C@@H]2C(c2ccc(OC)cc2)=N1,COCCCNC(=O)C1=CC2=c3ccccc3=N[C@@H]2C(c2ccc(OC)cc2)=N1,10.0
226338,340,226,-9.849310000000001,Cc1cccc(OCCN2C(=O)CCNC2=O)c1C,Cc1cccc(OCCN2C(=O)CCNC2=O)c1C,3.05258917808533
61889,890,61,-9.81803,O=C(Nc1ccc2c(c1)N(C(=O)c1cccs1)CC2)c1ccco1,O=C(Nc1ccc2c(c1)N(C(=O)c1cccs1)CC2)c1ccco1,3.33164024353027
208262,264,208,-9.80655,Cc1ccc(-c2cc(=O)c3cc(NC(=O)c4ccco4)ccc3o2)cc1,Cc1ccc(-c2cc(=O)c3cc(NC(=O)c4ccco4)ccc3o2)cc1,3.81473779678345
199309,311,199,-9.7878,CNc1ccc([C@@H]2Nc3ccccc3C(=O)N2C)cc1[N+](=O)[O-],CNc1ccc([C@@H]2Nc3ccccc3C(=O)N2C)cc1[N+](=O)[O-],10.0
142510,511,142,-9.736930000000001,Cc1c(C(=O)NCc2ccccc2)sc2nc(-c3ccccc3)cn12,Cc1c(C(=O)NCc2ccccc2)sc2nc(-c3ccccc3)cn12,2.70166063308716
133364,365,133,-9.72673,COCCCOc1cccc([C@H]2Nc3ccccc3C(=O)N2C)c1,COCCCOc1cccc([C@H]2Nc3ccccc3C(=O)N2C)c1,10.0
7963,964,7,-9.72565,Cn1c(/C=C/c2ccc(F)cc2)nc2ccc(I)cc2c1=O,Cn1c(/C=C/c2ccc(F)cc2)nc2ccc(I)cc2c1=O,3.41153931617737
87006,7,87,-9.72148,O=C(Nn1cnc2ccccc21)c1cccc(F)c1,O=C(Nn1cnc2ccccc21)c1cccc(F)c1,2.16526746749878
20194,195,20,-9.715010000000001,CC[C@H](C)NC(=O)N[C@@H]1CC(=O)N(c2ccc3c(c2)OCCO3)C1,CC[C@H](C)NC(=O)N[C@@H]1CC(=O)N(c2ccc3c(c2)OCCO3)C1,3.79582214355469
127625,626,127,-9.7098,Cc1sc2ncnc(Oc3ccc(C#N)cc3)c2c1C,Cc1sc2ncnc(Oc3ccc(C#N)cc3)c2c1C,2.09953260421753
226856,858,226,-9.68374,O=C(Cn1cnc2sc3c(c2c1=O)CCC3)N1CCc2ccccc21,O=C(Cn1cnc2sc3c(c2c1=O)CCC3)N1CCc2ccccc21,2.40455865859985
143009,10,143,-9.67716,Cc1c(NC(=O)c2csc3c2CCCC3)cccc1C(N)=O,Cc1c(NC(=O)c2csc3c2CCCC3)cccc1C(N)=O,2.33741092681885
109033,34,109,-9.66405,C[C@@H]1C[C@H]1NC(=O)C(=O)Nc1cccc(C#Cc2ccccc2)c1,C[C@@H]1C[C@H]1NC(=O)C(=O)Nc1cccc(C#Cc2ccccc2)c1,3.627037525177
45653,654,45,-9.657739999999999,CC[C@@H]1CCC[NH+](Cn2cnc(-c3cccc([N+](=O)[O-])c3)n2)C1,CC[C@@H]1CCCN(Cn2cnc(-c3cccc([N+](=O)[O-])c3)n2)C1,10.0
135502,503,135,-9.6516,Cc1ccc(C(=O)Nc2ccc3oc(C(F)(F)F)cc(=O)c3c2)cc1,Cc1ccc(C(=O)Nc2ccc3oc(C(F)(F)F)cc(=O)c3c2)cc1,2.3638744354248
8316,317,8,-9.63067,C[C@@H]1CCCN(c2ncnc3c2[nH]c2ccc(F)cc23)C1,C[C@@H]1CCCN(c2ncnc3c2[nH]c2ccc(F)cc23)C1,3.19782948493958
233205,207,233,-9.62834,Cn1c(C[C@H]([NH3+])c2cccc(F)c2)nc2ccccc21,Cn1c(C[C@@H](N)c2cccc(F)c2)nc2ccccc21,3.07219982147217
172286,288,172,-9.626,O=C1N[C@@H](c2cc(Cl)c3c(c2)OCO3)Nc2ccccc21,O=C1N[C@@H](c2cc(Cl)c3c(c2)OCO3)Nc2ccccc21,2.51287055015564
135547,548,135,-9.62475,Cc1nc([C@H]2CC(=O)N(c3ccc(F)cc3)C2)no1,Cc1nc([C@H]2CC(=O)N(c3ccc(F)cc3)C2)no1,3.85247468948364
235129,131,235,-9.60716,CC(=O)c1cccc(Oc2ncnc3sccc23)c1,CC(=O)c1cccc(Oc2ncnc3sccc23)c1,2.03066730499268
121983,984,121,-9.60454,CCc1ccc(N2C[C@@H](C(=O)N(CC)c3cccnc3)CC2=O)cc1,CCc1ccc(N2C[C@@H](C(=O)N(CC)c3cccnc3)CC2=O)cc1,3.07457566261292
112549,550,112,-9.59724,O=C1N[C@H](c2cc3cc(F)ccc3o2)Nc2cc(Cl)ccc21,O=C1N[C@H](c2cc3cc(F)ccc3o2)Nc2cc(Cl)ccc21,2.93190288543701
235975,977,235,-9.59225,COC(=O)c1ccc2c([O-])nc(/C(Cl)=C/c3ccccc3Cl)nc2c1,COC(=O)c1ccc2c(O)nc(/C(Cl)=C/c3ccccc3Cl)nc2c1,10.0
232912,914,232,-9.592080000000001,CC(C)[C@@H](C)[NH+]1Cc2cccc(NCC(=O)Nc3ccc(C#N)c(Cl)c3)c2C1,CC(C)[C@@H](C)N1Cc2cccc(NCC(=O)Nc3ccc(C#N)c(Cl)c3)c2C1,3.51266241073608
178902,904,178,-9.58946,CN(C)c1ccc(NC(=O)N2CCc3cc(F)ccc3C2)c[nH+]1,CN(C)c1ccc(NC(=O)N2CCc3cc(F)ccc3C2)cn1,2.65191912651062
224784,786,224,-9.5883,COCCOc1ccc(/C=C2\Cc3cc4c(cc3C2=O)OCCO4)cc1,COCCOc1ccc(/C=C2\Cc3cc4c(cc3C2=O)OCCO4)cc1,3.07191705703735
120612,613,120,-9.58355,Cc1ccc2c(c1)C(=O)C[C@@H](c1cccc(O)c1)O2,Cc1ccc2c(c1)C(=O)C[C@@H](c1cccc(O)c1)O2,2.05463910102844
174404,406,174,-9.58308,CSc1cccc(NC(=O)N2CCC[C@@H](C(=O)Nc3ccccc3)C2)c1,CSc1cccc(NC(=O)N2CCC[C@@H](C(=O)Nc3ccccc3)C2)c1,2.9049506187439
21690,691,21,-9.5674,O=C(Nc1cc(F)c2[nH]c(=O)ccc2c1)Nc1cc(F)ccc1F,O=C(Nc1cc(F)c2[nH]c(=O)ccc2c1)Nc1cc(F)ccc1F,3.83841419219971
62743,744,62,-9.5618,CCCOc1ccc(NC(=O)NCCn2cc[nH+]c2)cc1Cl,CCCOc1ccc(NC(=O)NCCn2ccnc2)cc1Cl,2.17385816574097
29463,464,29,-9.55987,c1cc2cc([C@H]3CCC[NH2+]3)cnc2[nH]1,c1cc2cc([C@H]3CCCN3)cnc2[nH]1,3.4621753692627
194854,856,194,-9.559460000000001,O=C(CCc1ncc(-c2ccccc2F)o1)NNc1cccc(Cl)c1,O=C(CCc1ncc(-c2ccccc2F)o1)NNc1cccc(Cl)c1,2.85787177085876
103579,580,103,-9.55838,N#Cc1ccc(C(=O)N2CC(OCc3cccc4ccccc34)C2)cc1,N#Cc1ccc(C(=O)N2CC(OCc3cccc4ccccc34)C2)cc1,2.90257573127747
87039,40,87,-9.55788,Nc1ccc2oc(CSc3n[nH]c(=O)n3C3CC3)nc2c1,Nc1ccc2oc(CSc3n[nH]c(=O)n3C3CC3)nc2c1,10.0
90564,565,90,-9.539060000000001,Cc1ccc(C(N)=O)cc1NCc1c(C)nn(-c2ccc(F)cc2)c1C,Cc1ccc(C(N)=O)cc1NCc1c(C)nn(-c2ccc(F)cc2)c1C,2.1368556022644
165818,820,165,-9.52939,Cn1cc[nH+]c1-c1cccc(NC(=O)c2cn(-c3ccccc3)nn2)c1,Cn1ccnc1-c1cccc(NC(=O)c2cn(-c3ccccc3)nn2)c1,3.15485954284668
114444,445,114,-9.51724,O=C(Nc1ccc(F)c(F)c1)c1ccc(-n2ccnc2)c([N+](=O)[O-])c1,O=C(Nc1ccc(F)c(F)c1)c1ccc(-n2ccnc2)c([N+](=O)[O-])c1,2.22746086120605
140150,151,140,-9.5167,C=C(C)Cn1c([C@H]2CC(=O)N(c3cccc(Cl)c3)C2)nc2ccccc21,C=C(C)Cn1c([C@H]2CC(=O)N(c3cccc(Cl)c3)C2)nc2ccccc21,3.44151163101196
86478,479,86,-9.50997,COc1cccc(N2C[C@@H](C(=O)NCC[NH3+])CC2=O)c1,COc1cccc(N2C[C@@H](C(=O)NCCN)CC2=O)c1,2.92538166046143
200025,27,200,-9.509839999999999,N#Cc1nnc2c(-c3ccc(Cl)cc3)cnn2c1N,N#Cc1nnc2c(-c3ccc(Cl)cc3)cnn2c1N,2.94062662124634
18369,370,18,-9.507489999999999,Cc1cccc(N2C(=O)S/C(=C\c3cccc(F)c3)C2=O)c1,Cc1cccc(N2C(=O)S/C(=C\c3cccc(F)c3)C2=O)c1,10.0
212005,7,212,-9.50533,O=C(Nc1nnc2ccccn12)c1ccc2c(c1)CCO2,O=C(Nc1nnc2ccccn12)c1ccc2c(c1)CCO2,2.26621603965759
59117,118,59,-9.49841,CC[C@@H]1CCCN(C(=O)Cn2c(=O)oc3ccccc32)C1,CC[C@@H]1CCCN(C(=O)Cn2c(=O)oc3ccccc32)C1,2.90004634857178
143378,379,143,-9.49585,Cc1ccc(/C=c2\sc3nc(-c4ccccc4)nn3c2=O)cc1,Cc1ccc(/C=c2\sc3nc(-c4ccccc4)nn3c2=O)cc1,10.0
188851,853,188,-9.48334,O=c1c2ccc(Cl)cc2nc(-c2ccccc2Cl)n1O,O=c1c2ccc(Cl)cc2nc(-c2ccccc2Cl)n1O,10.0
184175,177,184,-9.48139,COC(=O)c1sc2nc(/C=C/c3ccc(Cl)cc3)[nH]c(=O)c2c1C,COC(=O)c1sc2nc(/C=C/c3ccc(Cl)cc3)[nH]c(=O)c2c1C,2.86484622955322
53398,399,53,-9.473310000000001,CC[NH+](CC)[C@@H]1CCN(C(=O)C(=O)Nc2ccc(C)c(C(F)(F)F)c2)C1,CCN(CC)[C@@H]1CCN(C(=O)C(=O)Nc2ccc(C)c(C(F)(F)F)c2)C1,3.45226192474365
107786,787,107,-9.448310000000001,CC[NH2+][C@@H]1CCCc2nc(-c3ccc(F)cn3)ncc21,CCN[C@@H]1CCCc2nc(-c3ccc(F)cn3)ncc21,3.44182372093201
225988,990,225,-9.43763,Cc1ccc([C@@H]2Nc3ccccc3C(=O)N2C)cc1,Cc1ccc([C@@H]2Nc3ccccc3C(=O)N2C)cc1,10.0
493,494,0,-9.420160000000001,Cc1cc2ncn(C[C@H]3CC3(Cl)Cl)c2cc1C,Cc1cc2ncn(C[C@H]3CC3(Cl)Cl)c2cc1C,10.0
156901,902,156,-9.41815,COC(=O)c1cc(NCc2cc(Cl)cs2)c(F)cc1F,COC(=O)c1cc(NCc2cc(Cl)cs2)c(F)cc1F,2.53317403793335
94257,258,94,-9.4069,O=C(C[C@@H]1Oc2ccccc2NC1=O)Nc1cccnc1,O=C(C[C@@H]1Oc2ccccc2NC1=O)Nc1cccnc1,3.73593926429749
105389,390,105,-9.40375,Cc1ccc2c(c1)C(=O)C[C@H](c1ccc(O)cc1)O2,Cc1ccc2c(c1)C(=O)C[C@H](c1ccc(O)cc1)O2,2.07099795341492
136851,852,136,-9.3944,Cc1ccc(NC(=O)c2ccc3nc(C(C)C)oc3c2)cc1C,Cc1ccc(NC(=O)c2ccc3nc(C(C)C)oc3c2)cc1C,2.94709205627441
180721,723,180,-9.39297,CCC(=O)c1ccc(Oc2ccnc3cc(Cl)ccc23)cc1,CCC(=O)c1ccc(Oc2ccnc3cc(Cl)ccc23)cc1,2.00597977638245
161846,848,161,-9.38687,Cc1cccc(N2CCN(C(=O)COc3ccc(C=O)cc3)CC2)c1C,Cc1cccc(N2CCN(C(=O)COc3ccc(C=O)cc3)CC2)c1C,2.04301333427429
226803,805,226,-9.3857,Cc1cccc(C[NH+]2CCC([NH2+]Cc3cccc4c3OCO4)CC2)c1,Cc1cccc(CN2CCC(NCc3cccc4c3OCO4)CC2)c1,2.49175930023193
144494,495,144,-9.38167,Cn1cc[nH+]c1C[C@@H](O)c1cccnc1,Cn1ccnc1C[C@@H](O)c1cccnc1,2.06564569473267
82997,998,82,-9.38137,O=C(c1nc2ccccc2o1)N1CCC(c2nc3ccccc3s2)CC1,O=C(c1nc2ccccc2o1)N1CCC(c2nc3ccccc3s2)CC1,2.46672797203064
189267,269,189,-9.37877,Cc1cncc(NC(=O)c2cccc(C[NH+]3CCCC3)c2)c1,Cc1cncc(NC(=O)c2cccc(CN3CCCC3)c2)c1,2.42348337173462
236423,425,236,-9.37267,CCNC(=O)c1cncc(-c2ccc(F)cc2)c1,CCNC(=O)c1cncc(-c2ccc(F)cc2)c1,2.09765815734863
41927,928,41,-9.36892,O=c1ccc2cc3c(-c4ccc(F)cc4)coc3cc2o1,O=c1ccc2cc3c(-c4ccc(F)cc4)coc3cc2o1,10.0
224085,87,224,-9.3591,CO[C@H]1CCCC[C@H]1Nc1ncnc2ccc(F)cc12,CO[C@H]1CCCC[C@H]1Nc1ncnc2ccc(F)cc12,3.03604674339294
179266,268,179,-9.35633,N#Cc1ccc(-c2noc(-c3ccc(OCC(F)(F)F)nc3)n2)nc1,N#Cc1ccc(-c2noc(-c3ccc(OCC(F)(F)F)nc3)n2)nc1,3.10336065292358
58694,695,58,-9.35235,COc1ccc(CCn2cnc3sc4c(c3c2=O)CCC4)cc1,COc1ccc(CCn2cnc3sc4c(c3c2=O)CCC4)cc1,2.28561234474182
177711,713,177,-9.34473,Cc1ccc2c(c1)NC(=O)[C@H](CC(=O)Nc1cccc3ccccc13)O2,Cc1ccc2c(c1)NC(=O)[C@H](CC(=O)Nc1cccc3ccccc13)O2,3.85265755653381
30648,649,30,-9.34253,Cc1cc(C(=O)O[C@@H]2CCC[C@H]2n2cccn2)ccc1[N+](=O)[O-],Cc1cc(C(=O)O[C@@H]2CCC[C@H]2n2cccn2)ccc1[N+](=O)[O-],2.79379558563232
89466,467,89,-9.33723,Cc1n[nH]c(-c2ccc(NCc3cccc(C(N)=O)c3)cc2)n1,Cc1n[nH]c(-c2ccc(NCc3cccc(C(N)=O)c3)cc2)n1,3.03624773025513
4977,978,4,-9.33579,CC[C@@H]([NH2+]Cc1cccc(NC(=O)[C@@H]2CCCO2)c1)c1cccs1,CC[C@H](NCc1cccc(NC(=O)[C@@H]2CCCO2)c1)c1cccs1,2.97022342681885
191945,947,191,-9.32746,O=C(Oc1ccc2c(c1)O/C(=C\c1cccnc1)C2=O)c1cc2ccccc2o1,O=C(Oc1ccc2c(c1)O/C(=C\c1cccnc1)C2=O)c1cc2ccccc2o1,2.89173269271851
190839,841,190,-9.32444,CC(C)(C)c1ccccc1[C@@H]1C[NH2+]C[C@@H]1C(=O)[O-],CC(C)(C)c1ccccc1[C@@H]1CNC[C@@H]1C(=O)O,4.12571048736572
24194,195,24,-9.32098,Cc1cc(C(=O)OCc2nc3ccccc3s2)ccc1[N+](=O)[O-],Cc1cc(C(=O)OCc2nc3ccccc3s2)ccc1[N+](=O)[O-],2.08547592163086
184741,743,184,-9.31587,CC1=c2cc(C(=O)Nc3cccc(C)c3C)ccc2=[NH+][C@@H]1C,CC1=c2cc(C(=O)Nc3cccc(C)c3C)ccc2=N[C@@H]1C,10.0
87660,661,87,-9.31548,C[C@H](CCCl)Sc1ncnc2ccsc12,C[C@H](CCCl)Sc1ncnc2ccsc12,3.59215760231018
24174,175,24,-9.30543,CCCOC(=O)c1[nH]c2c(c1C)C(=O)C[C@@H](c1ccc(N(C)C)cc1)C2,CCCOC(=O)c1[nH]c2c(c1C)C(=O)C[C@@H](c1ccc(N(C)C)cc1)C2,10.0
129832,833,129,-9.3023,Cc1cccc(NC(=O)N2CCC[C@@H](c3nc(-c4ccc(F)cc4)no3)C2)c1C,Cc1cccc(NC(=O)N2CCC[C@@H](c3nc(-c4ccc(F)cc4)no3)C2)c1C,3.41606211662292
222324,326,222,-9.301810000000001,O=C1N[C@@H](c2cccc3c2OCCO3)Nc2ccccc21,O=C1N[C@@H](c2cccc3c2OCCO3)Nc2ccccc21,2.32595539093018
157075,76,157,-9.28652,Cn1c(SCc2cccnc2)nc2scc(-c3cccs3)c2c1=O,Cn1c(SCc2cccnc2)nc2scc(-c3cccs3)c2c1=O,2.58894205093384
94860,861,94,-9.282910000000001,Cc1ccc(C(=O)N[C@@H]2CCc3[nH+]ccn3C2)n1C,Cc1ccc(C(=O)N[C@@H]2CCc3nccn3C2)n1C,4.12376689910889
105413,414,105,-9.27801,C#Cc1cc(F)c(NC(=O)N2CCC[C@@H](n3cccn3)C2)c(F)c1,C#Cc1cc(F)c(NC(=O)N2CCC[C@@H](n3cccn3)C2)c(F)c1,3.54825735092163
139741,742,139,-9.27312,Cc1ccc(NC(=O)N(CCO)[C@@H]2CCS(=O)(=O)C2)cc1Cl,Cc1ccc(NC(=O)N(CCO)[C@@H]2CCS(=O)(=O)C2)cc1Cl,3.07756972312927
2746,747,2,-9.2586,O=C(Nc1ccccc1)c1cccc(OC(=O)c2ncn(-c3ccccc3)n2)c1,O=C(Nc1ccccc1)c1cccc(OC(=O)c2ncn(-c3ccccc3)n2)c1,2.70208978652954
124430,431,124,-9.25516,Cc1ccc2ncc(C(=O)Nc3ccc(Cl)c([N+](=O)[O-])c3)n2c1,Cc1ccc2ncc(C(=O)Nc3ccc(Cl)c([N+](=O)[O-])c3)n2c1,2.61971473693848
228194,196,228,-9.252139999999999,O=C(NC[C@H](O)c1c(F)cccc1F)c1ccc[nH]c1=O,O=C(NC[C@H](O)c1c(F)cccc1F)c1ccc[nH]c1=O,2.87079000473022
