,i_i_glide_lignum,i_global_index,r_i_docking_score,s_smiles,s_neutral_smiles,r_moleculeone_score
43783,784,43,-9.35752,C[C@@H](NC(=O)c1ccc(-c2nc3ccccc3s2)o1)c1ccc2c(c1)OCCO2,C[C@@H](NC(=O)c1ccc(-c2nc3ccccc3s2)o1)c1ccc2c(c1)OCCO2,3.44824504852295
96122,123,96,-9.35288,CC(=O)N[C@@H]1N=C(C(=O)Nc2ccc3[nH]c(C)cc3c2)CS1,CC(=O)N[C@@H]1N=C(C(=O)Nc2ccc3[nH]c(C)cc3c2)CS1,10.0
72725,726,72,-9.34605,C[C@@H]1Cc2ccccc2N1C(=O)[C@H]1CC(=O)N(c2ccc3c(c2)OCO3)C1,C[C@@H]1Cc2ccccc2N1C(=O)[C@H]1CC(=O)N(c2ccc3c(c2)OCO3)C1,3.15326833724976
106968,969,106,-9.34426,CC[NH+]1CCC[C@H]1C[NH2+]Cc1cc2c(-c3cccc(F)c3)nn(-c3ccccc3)c2[nH]c1=O,CCN1CCC[C@H]1CNCc1cc2c(-c3cccc(F)c3)nn(-c3ccccc3)c2[nH]c1=O,5.09283685684204
160520,522,160,-9.331539999999999,C[C@H]1CCC[C@@H](C)C1NC(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,C[C@H]1CCC[C@@H](C)C1NC(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,4.29471015930176
217501,503,217,-9.32347,C[C@H]([NH2+]Cc1ccc(-n2ccnc2)cc1)c1ccc(-n2ccnc2)cc1,C[C@@H](NCc1ccc(-n2ccnc2)cc1)c1ccc(-n2ccnc2)cc1,2.28158617019653
41939,940,41,-9.321710000000001,O=C(NC1CCCCC1)C1CCN(C(=O)c2cc3cc(Cl)cnc3[nH]2)CC1,O=C(NC1CCCCC1)C1CCN(C(=O)c2cc3cc(Cl)cnc3[nH]2)CC1,3.1252110004425
102667,668,102,-9.28988,CCOc1cccc(NC(=O)c2ccc[n+]([O-])c2)c1,CCOc1cccc(NC(=O)c2ccc[n+]([O-])c2)c1,2.05666851997375
50930,931,50,-9.28257,O=[N+]([O-])c1ccc(N2CCc3nc(-c4ccccc4)ncc3C2)cc1,O=[N+]([O-])c1ccc(N2CCc3nc(-c4ccccc4)ncc3C2)cc1,2.21774363517761
238859,861,238,-9.28012,Cn1cc(-c2cccc(C[NH+]3CCc4nn(C)c(=O)cc4C3)c2)cn1,Cn1cc(-c2cccc(CN3CCc4nn(C)c(=O)cc4C3)c2)cn1,3.54161071777344
192856,858,192,-9.27449,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(-c3cccc(F)c3)c2)CC1,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(-c3cccc(F)c3)c2)CC1,2.39060735702515
10921,922,10,-9.24934,CCc1cc2c3c(c1)[C@@]1(NCCC4=c5ccccc5=[NH+][C@@H]41)C(=O)N3C(C)(C)C[C@@H]2C,CCc1cc2c3c(c1)[C@@]1(NCCC4=c5ccccc5=N[C@@H]41)C(=O)N3C(C)(C)C[C@@H]2C,10.0
15152,153,15,-9.24907,O=C(Cc1csc(-c2cccnc2)n1)N1CC=C(c2ccc(O)cc2)CC1,O=C(Cc1csc(-c2cccnc2)n1)N1CC=C(c2ccc(O)cc2)CC1,2.97840118408203
10174,175,10,-9.23953,CCN(C(=O)C1CC=CC1)c1ccc(F)c(F)c1,CCN(C(=O)C1CC=CC1)c1ccc(F)c(F)c1,2.28434062004089
153627,628,153,-9.23846,Cc1cccc(N[C@H]2CC(=O)N(c3ccc(C)c(C)c3)C2=O)c1,Cc1cccc(N[C@H]2CC(=O)N(c3ccc(C)c(C)c3)C2=O)c1,3.5677170753479
37487,488,37,-9.23127,Cc1cc(C)cc(-n2ncc3c(=O)n(CC(=O)N4CCNC4=O)cnc32)c1,Cc1cc(C)cc(-n2ncc3c(=O)n(CC(=O)N4CCNC4=O)cnc32)c1,3.2316620349884
74288,289,74,-9.223419999999999,COc1ccc2nc(NC(=O)N3CCO[C@H](c4cccc(F)c4)C3)sc2c1,COc1ccc2nc(NC(=O)N3CCO[C@H](c4cccc(F)c4)C3)sc2c1,4.13973093032837
133787,788,133,-9.22128,CC(=O)N1CCc2[nH]c3cc([C@H]4CCCC[NH+]4Cc4ccc(F)cc4)nn3c(=O)c2C1,CC(=O)N1CCc2[nH]c3cc([C@H]4CCCCN4Cc4ccc(F)cc4)nn3c(=O)c2C1,10.0
183428,430,183,-9.21829,COc1cc(/C=C2\CSc3ccc(F)cc3C2=O)cc2c1OCCO2,COc1cc(/C=C2\CSc3ccc(F)cc3C2=O)cc2c1OCCO2,3.99615716934204
155726,727,155,-9.21583,CC1=NN(c2ccccc2)C(=O)[C@H]1C=C1C(=O)N(c2cccc(C)c2)C(=O)N=C1[O-],CC1=NN(c2ccccc2)C(=O)[C@H]1C=C1C(=O)N(c2cccc(C)c2)C(=O)N=C1O,10.0
42105,106,42,-9.20683,Cc1cccc(OC[C@H](O)CNC(=O)c2n[nH]c(=O)c3ccccc23)c1,Cc1cccc(OC[C@H](O)CNC(=O)c2n[nH]c(=O)c3ccccc23)c1,3.4747142791748
159208,210,159,-9.201139999999999,CNc1ccccc1N1C(=O)c2ccc(C(=O)NNc3ccc(O)cc3)cc2C1=O,CNc1ccccc1N1C(=O)c2ccc(C(=O)NNc3ccc(O)cc3)cc2C1=O,3.43036484718323
137180,181,137,-9.19865,[NH3+]CCCOC1CC[NH+](C[C@@H]2COc3ccccc32)CC1,NCCCOC1CCN(C[C@@H]2COc3ccccc32)CC1,3.81562232971191
127159,160,127,-9.19818,Cc1nc(-c2cccc(CNC(=O)c3ccc[n+]([O-])c3)c2)n[nH]1,Cc1nc(-c2cccc(CNC(=O)c3ccc[n+]([O-])c3)c2)n[nH]1,3.56744241714478
163749,751,163,-9.19764,c1ccc2c(c1)CCN(c1ccc(C[NH2+]Cc3cccc4cn[nH]c34)cn1)C2,c1ccc2c(c1)CCN(c1ccc(CNCc3cccc4cn[nH]c34)cn1)C2,3.01755905151367
138852,853,138,-9.19287,CCn1cc([C@@H](C)[NH2+]Cc2cc(-c3ccc(F)cc3)n[nH]2)c(C)n1,CCn1cc([C@@H](C)NCc2cc(-c3ccc(F)cc3)n[nH]2)c(C)n1,3.48525762557983
103473,474,103,-9.16785,C[C@H](CCCO)NC(=O)c1cn(-c2ccccc2)nn1,C[C@H](CCCO)NC(=O)c1cn(-c2ccccc2)nn1,3.08283281326294
87137,138,87,-9.15455,Cc1cc(C)c2nc3s/c(=C/c4ccc(N(C)C)cc4)c(=O)n3c2c1,Cc1cc(C)c2nc3s/c(=C/c4ccc(N(C)C)cc4)c(=O)n3c2c1,10.0
77308,309,77,-9.14869,Cc1ccc(N2C(=O)C[C@H](Nc3cccc(Cl)c3)C2=O)cc1C,Cc1ccc(N2C(=O)C[C@H](Nc3cccc(Cl)c3)C2=O)cc1C,3.56087255477905
225318,320,225,-9.14816,O=C(Cc1cn2ccccc2[nH+]1)Nc1cccc(F)c1,O=C(Cc1cn2ccccc2n1)Nc1cccc(F)c1,2.373779296875
125052,53,125,-9.14783,CCn1ccc2ccc(NC(=O)C(=O)N3CC[C@@H](C(N)=O)C3)cc21,CCn1ccc2ccc(NC(=O)C(=O)N3CC[C@@H](C(N)=O)C3)cc21,3.61422348022461
219701,703,219,-9.130460000000001,COc1ccc(-c2c[nH]c([C@H]3CC(=O)N(C4CCCC4)C3)[nH+]2)c(F)c1,COc1ccc(-c2c[nH]c([C@H]3CC(=O)N(C4CCCC4)C3)n2)c(F)c1,4.27456378936768
246595,597,246,-9.12433,Cc1ccc(N2C[C@@H](C(=O)N3CCc4ccccc4C3)CC2=O)cc1,Cc1ccc(N2C[C@@H](C(=O)N3CCc4ccccc4C3)CC2=O)cc1,2.92495608329773
119715,716,119,-9.12305,O=C(c1ccc([C@H]2CCC[NH2+]C2)cc1)N1Cc2ccccc2C1,O=C(c1ccc([C@H]2CCCNC2)cc1)N1Cc2ccccc2C1,3.04340934753418
93585,586,93,-9.1202,O=C(C[C@@H]1CCS(=O)(=O)C1)Nc1ccc2c3c(cccc13)CC2,O=C(C[C@@H]1CCS(=O)(=O)C1)Nc1ccc2c3c(cccc13)CC2,3.756019115448
63239,240,63,-9.11657,CC(=O)C[C@@]1(O)C(=O)N(CCCOc2ccc3ccccc3c2)c2ccc(Cl)cc21,CC(=O)C[C@@]1(O)C(=O)N(CCCOc2ccc3ccccc3c2)c2ccc(Cl)cc21,10.0
185601,603,185,-9.11563,O=C(c1cc2ccccn2n1)N1CCN(c2ccc(F)cc2)CC1,O=C(c1cc2ccccn2n1)N1CCN(c2ccc(F)cc2)CC1,2.09591507911682
147144,145,147,-9.11236,O=C(CCc1c[nH]c2ccccc12)Nc1cccc(-c2nnc3n2CCCCC3)c1,O=C(CCc1c[nH]c2ccccc12)Nc1cccc(-c2nnc3n2CCCCC3)c1,2.60953092575073
17448,449,17,-9.10702,COc1ccc(OC)c(NC(=O)[C@H]2CC(=O)N(c3cc(C)cc(C)c3)C2)c1,COc1ccc(OC)c(NC(=O)[C@H]2CC(=O)N(c3cc(C)cc(C)c3)C2)c1,2.89959001541138
29332,333,29,-9.10476,C[C@@H](NC[C@H](O)c1cccc(C(F)(F)F)c1)c1ccc2[nH]c(=O)[nH]c2c1,C[C@@H](NC[C@H](O)c1cccc(C(F)(F)F)c1)c1ccc2[nH]c(=O)[nH]c2c1,3.0328483581543
112549,550,112,-9.08796,O=C1N[C@H](c2cc3cc(F)ccc3o2)Nc2cc(Cl)ccc21,O=C1N[C@H](c2cc3cc(F)ccc3o2)Nc2cc(Cl)ccc21,2.93190288543701
243455,457,243,-9.0722,O=C(N=c1[nH]c2ccccc2[nH]1)[C@H]1COc2ccc(Cl)cc2C1,O=C(N=c1[nH]c2ccccc2[nH]1)[C@H]1COc2ccc(Cl)cc2C1,4.80350112915039
186425,427,186,-9.06915,CS(=O)(=O)c1ccc(C(=O)c2cc3ccccc3o2)cc1,CS(=O)(=O)c1ccc(C(=O)c2cc3ccccc3o2)cc1,2.0591893196106
197651,653,197,-9.067919999999999,CC(C)(C)NC(=O)c1cc2c(s1)-c1ccccc1OC2,CC(C)(C)NC(=O)c1cc2c(s1)-c1ccccc1OC2,2.67869210243225
3096,97,3,-9.05897,O=C(N=c1[nH]c2ccccc2[nH]1)c1cc(Cl)ccc1[N+](=O)[O-],O=C(N=c1[nH]c2ccccc2[nH]1)c1cc(Cl)ccc1[N+](=O)[O-],4.6496844291687
97127,128,97,-9.05355,c1ccc2c(c1)ccc1cc3sc(=[N+]4CCCC4)nc-3oc12,c1ccc2c(c1)ccc1cc3sc(=[N+]4CCCC4)nc-3oc12,3.90480327606201
217537,539,217,-9.0473,COc1ccc(N2C(=O)C/C(=C\c3ccc(O)c(O)c3)C2=O)cc1,COc1ccc(N2C(=O)C/C(=C\c3ccc(O)c(O)c3)C2=O)cc1,10.0
172970,972,172,-9.04251,O=C1N=[NH+][C@@H](c2ccc(OCc3ccc(F)cc3)cc2)O1,O=C1N=N[C@@H](c2ccc(OCc3ccc(F)cc3)cc2)O1,10.0
80146,147,80,-9.040410000000001,O=C(COC(=O)c1ccc2ccccc2c1)c1ccccc1,O=C(COC(=O)c1ccc2ccccc2c1)c1ccccc1,2.01779079437256
4251,252,4,-9.040289999999999,O=C(Nc1ccc(F)cc1)C1CCN(C(=O)c2ccc(Cl)cc2)CC1,O=C(Nc1ccc(F)cc1)C1CCN(C(=O)c2ccc(Cl)cc2)CC1,2.14774608612061
6038,39,6,-9.039439999999999,CC1=NN(c2ccc(C(=O)N3CC[NH+](Cc4ccco4)CC3)cc2)CC1,CC1=NN(c2ccc(C(=O)N3CCN(Cc4ccco4)CC3)cc2)CC1,2.72220516204834
144170,171,144,-9.03755,O=C(Cc1csc(-c2cccs2)n1)N1CCC[C@H](O)C1,O=C(Cc1csc(-c2cccs2)n1)N1CCC[C@H](O)C1,2.61764764785767
167578,580,167,-9.03534,COc1ccc(N2C[C@@H](C(=O)N(C)c3cccc(C#N)c3)CC2=O)cc1,COc1ccc(N2C[C@@H](C(=O)N(C)c3cccc(C#N)c3)CC2=O)cc1,3.03609085083008
165818,820,165,-9.03487,Cn1cc[nH+]c1-c1cccc(NC(=O)c2cn(-c3ccccc3)nn2)c1,Cn1ccnc1-c1cccc(NC(=O)c2cn(-c3ccccc3)nn2)c1,3.15485954284668
21538,539,21,-9.03381,O=C(CNC(=O)c1ccc(-n2cccc2)cc1)Nc1cccc(F)c1,O=C(CNC(=O)c1ccc(-n2cccc2)cc1)Nc1cccc(F)c1,2.44574022293091
178498,500,178,-9.0307,O=C(C[NH+]1CCc2cncnc2C1)N1CCC(c2ccccc2)=N1,O=C(CN1CCc2cncnc2C1)N1CCC(c2ccccc2)=N1,3.33821320533752
37091,92,37,-9.027339999999999,[NH3+][C@@H]1CCCN(c2cc(-c3nc(-c4cccnc4)no3)ccn2)C1,N[C@@H]1CCCN(c2cc(-c3nc(-c4cccnc4)no3)ccn2)C1,2.9495735168457
29676,677,29,-9.0258,COCC[NH2+]C/C=C/c1ccc(-c2ccc(F)cc2)o1,COCCNC/C=C/c1ccc(-c2ccc(F)cc2)o1,3.3576922416687
47932,933,47,-9.02497,C/C(=C1/SC(=O)N(c2cccc(C(F)(F)F)c2)C1=O)c1ccc(O)cc1,C/C(=C1/SC(=O)N(c2cccc(C(F)(F)F)c2)C1=O)c1ccc(O)cc1,10.0
28148,149,28,-9.01867,CN(C)C(=O)c1cccc(NC(=O)CNC(=O)c2cc3ccccc3[nH]2)c1,CN(C)C(=O)c1cccc(NC(=O)CNC(=O)c2cc3ccccc3[nH]2)c1,2.72432732582092
231139,141,231,-9.01728,Cc1cccc(NC(=O)C(=O)NC[C@@H]2CCC[C@H](O)C2)c1C,Cc1cccc(NC(=O)C(=O)NC[C@@H]2CCC[C@H](O)C2)c1C,2.90750169754028
214186,188,214,-9.01695,O=C(Nc1nc2c(s1)Cc1ccccc1-2)c1cccc(Br)c1,O=C(Nc1nc2c(s1)Cc1ccccc1-2)c1cccc(Br)c1,2.18273019790649
123954,955,123,-9.01646,C[C@H]1C[C@@H](c2ccc(F)cc2)CN1C(=O)Nc1ccc(C(N)=O)cc1,C[C@H]1C[C@@H](c2ccc(F)cc2)CN1C(=O)Nc1ccc(C(N)=O)cc1,4.00047206878662
155667,668,155,-9.01571,CC(=O)c1cccc(NC(=O)N2CCC(n3cc(C[NH3+])nn3)CC2)c1,CC(=O)c1cccc(NC(=O)N2CCC(n3cc(CN)nn3)CC2)c1,3.50337314605713
142292,293,142,-9.01443,c1ccc(OC[C@@H]2CCC[NH+](CCc3nc(-c4ccccc4)no3)C2)cc1,c1ccc(OC[C@@H]2CCCN(CCc3nc(-c4ccccc4)no3)C2)cc1,3.46017599105835
233628,630,233,-9.01268,CCn1cc[nH+]c1[C@H]1CCCN(C(=O)c2cc3ccccc3[nH]2)C1,CCn1ccnc1[C@H]1CCCN(C(=O)c2cc3ccccc3[nH]2)C1,3.54135608673096
91455,456,91,-9.00501,C[C@H]1C(=O)N(CC(=O)NCCc2c[nH]c3ccccc23)C(=O)N1c1ccccc1,C[C@H]1C(=O)N(CC(=O)NCCc2c[nH]c3ccccc23)C(=O)N1c1ccccc1,10.0
2115,116,2,-9.004389999999999,Cc1ccc(Cl)cc1N1CC[C@@H](C(=O)Nc2ccc(F)cc2F)C1=O,Cc1ccc(Cl)cc1N1CC[C@@H](C(=O)Nc2ccc(F)cc2F)C1=O,2.87184810638428
199326,328,199,-9.00331,O=C(Nc1cccc(C(F)(F)F)c1)c1cc(-c2ccc(O)cc2)on1,O=C(Nc1cccc(C(F)(F)F)c1)c1cc(-c2ccc(O)cc2)on1,2.25043058395386
95237,238,95,-8.99265,Cn1nccc1C(=O)Nc1nc2c(ccc3ccccc32)s1,Cn1nccc1C(=O)Nc1nc2c(ccc3ccccc32)s1,2.40070843696594
166447,449,166,-8.989989999999999,CS[C@@H]1CC[C@@H](NC(=O)C(=O)N2CCc3ccc(C)cc32)C1,CS[C@@H]1CC[C@@H](NC(=O)C(=O)N2CCc3ccc(C)cc32)C1,4.34379291534424
212632,634,212,-8.989930000000001,COc1cccc(N2CCN(C(=O)c3cc4ccccc4o3)CC2)c1,COc1cccc(N2CCN(C(=O)c3cc4ccccc4o3)CC2)c1,2.02589344978333
8180,181,8,-8.9885,Cc1cc(=O)oc2cc(NC(=O)[C@@H]([NH3+])Cc3c[nH]cn3)ccc12,Cc1cc(=O)oc2cc(NC(=O)[C@H](N)Cc3c[nH]cn3)ccc12,2.09875392913818
91395,396,91,-8.98333,O=C(NCCCn1ccnc1)c1sc2cc(F)ccc2c1Cl,O=C(NCCCn1ccnc1)c1sc2cc(F)ccc2c1Cl,2.13906025886536
70366,367,70,-8.983189999999999,CC1=NC=C/C(=N\C(=O)c2ccc(N3CCCC3=O)cc2)C1,CC1=NC=C/C(=N\C(=O)c2ccc(N3CCCC3=O)cc2)C1,10.0
113941,942,113,-8.98243,O[C@H]1CCCC[C@@H]1[NH2+]CC1=Cc2ccccc2OC1,O[C@H]1CCCC[C@H]1NCC1=Cc2ccccc2OC1,2.19328308105469
156043,44,156,-8.98099,C[C@H]1C[NH+](CC(=O)c2cc3ccccc3o2)C[C@@H]1C,C[C@H]1CN(CC(=O)c2cc3ccccc3o2)C[C@@H]1C,3.69996976852417
112402,403,112,-8.9806,Cc1oc(-c2ccc(Cl)cc2[N+](=O)[O-])cc1C(=O)Nc1ccc(C(=O)[O-])cc1,Cc1oc(-c2ccc(Cl)cc2[N+](=O)[O-])cc1C(=O)Nc1ccc(C(=O)O)cc1,3.89304304122925
78190,191,78,-8.98058,COc1cccc(CNC(=O)CCc2c(C)n(C)c3cc(-c4ccccc4C)nn3c2=O)c1,COc1cccc(CNC(=O)CCc2c(C)n(C)c3cc(-c4ccccc4C)nn3c2=O)c1,4.99251651763916
217322,324,217,-8.970930000000001,O=C1NC(=O)c2ccccc2/C1=C/c1cnn(Cc2ccccc2)c1,O=C1NC(=O)c2ccccc2/C1=C/c1cnn(Cc2ccccc2)c1,10.0
185319,321,185,-8.96698,O=C(N[C@H]1CCS(=O)(=O)C1)c1ccc(N2CCNC2=O)cc1,O=C(N[C@H]1CCS(=O)(=O)C1)c1ccc(N2CCNC2=O)cc1,3.51515984535217
235855,857,235,-8.96343,COc1cc(/C=C/c2ccc3ccccc3n2)cc(O)c1O,COc1cc(/C=C/c2ccc3ccccc3n2)cc(O)c1O,2.34923458099365
102591,592,102,-8.96071,CC(=O)N1CCc2cc(NC(=O)NC34CC5CC(CC(C5)C3)C4)ccc21,CC(=O)N1CCc2cc(NC(=O)NC34CC5CC(CC(C5)C3)C4)ccc21,2.12806534767151
